epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,1868.16,0.51309,1.14499,0.48724,0.91228,0.87719,0.81125,0.87072,0.72675,0.86187,0.79669,0.84915,0.67966,0.62891,1.77714,0.62705,0.97474,0.0095644,0.0095644,0.0095644
22,951.872,0.52416,1.1556,0.49035,0.9181,0.87927,0.80858,0.87065,0.72915,0.85059,0.80548,0.85077,0.67913,0.63441,1.81962,0.65461,0.97341,0.0095842,0.0095842,0.0095842
24,1985.14,0.50812,1.12952,0.47379,0.90991,0.86099,0.81362,0.86639,0.73347,0.85038,0.80213,0.84506,0.67693,0.61949,1.86065,0.62106,0.96498,0.0095446,0.0095446,0.0095446
23,1069,0.51627,1.15602,0.48126,0.91379,0.84442,0.82248,0.8615,0.72,0.83167,0.80727,0.83573,0.66331,0.64309,1.85293,0.62392,0.97728,0.0095644,0.0095644,0.0095644
25,2102.57,0.49926,1.1259,0.46584,0.90685,0.8846,0.82727,0.87811,0.74789,0.86738,0.8139,0.85283,0.69125,0.61487,1.82828,0.59219,0.96632,0.0095248,0.0095248,0.0095248
24,1186.45,0.50512,1.13287,0.46895,0.90686,0.85212,0.81075,0.87011,0.73924,0.82818,0.79179,0.83476,0.67158,0.60368,1.83605,0.64905,0.9536,0.0095446,0.0095446,0.0095446
26,2219.67,0.50155,1.12204,0.47382,0.90956,0.88231,0.81099,0.87643,0.7431,0.86958,0.79823,0.84668,0.68284,0.62166,1.82246,0.60096,0.96567,0.009505,0.009505,0.009505
25,1304.21,0.49768,1.11928,0.45836,0.90536,0.89166,0.83312,0.8795,0.74533,0.8734,0.81419,0.85171,0.69076,0.60437,1.74728,0.58858,0.95358,0.0095248,0.0095248,0.0095248
27,2337.49,0.49248,1.102,0.4565,0.90605,0.88656,0.82294,0.87753,0.74608,0.87365,0.80593,0.84971,0.69163,0.59583,1.79582,0.5811,0.95813,0.0094852,0.0094852,0.0094852
26,1421.4,0.48694,1.08964,0.44896,0.90375,0.90164,0.83657,0.88826,0.7538,0.88876,0.82101,0.86163,0.70249,0.59967,1.73322,0.56496,0.94762,0.009505,0.009505,0.009505
28,2457.02,0.48574,1.09432,0.45285,0.90296,0.9005,0.81324,0.88184,0.75135,0.88648,0.80155,0.85679,0.69868,0.58715,1.76789,0.56022,0.95189,0.0094654,0.0094654,0.0094654
27,1540.24,0.49078,1.07982,0.4459,0.90557,0.89955,0.84953,0.90149,0.76715,0.88136,0.83657,0.87684,0.70842,0.58795,1.73585,0.52723,0.94266,0.0094852,0.0094852,0.0094852
29,2572.78,0.47953,1.10073,0.44265,0.90032,0.91957,0.83332,0.89712,0.76995,0.90799,0.82817,0.87976,0.72344,0.5961,1.73245,0.51994,0.9492,0.0094456,0.0094456,0.0094456
28,1657.64,0.48341,1.08405,0.44727,0.90551,0.88245,0.85762,0.88809,0.76599,0.84407,0.8295,0.85089,0.70518,0.59178,1.80289,0.53757,0.9373,0.0094654,0.0094654,0.0094654
30,2691.84,0.47651,1.07398,0.436,0.89884,0.90853,0.8319,0.88967,0.76993,0.89898,0.82418,0.87124,0.72322,0.58136,1.68999,0.54963,0.94189,0.0094258,0.0094258,0.0094258
29,1775.85,0.4812,1.10155,0.44184,0.90083,0.8969,0.84616,0.89313,0.76101,0.88781,0.83655,0.87364,0.70861,0.59181,1.70574,0.52697,0.95174,0.0094456,0.0094456,0.0094456
31,2808.39,0.47822,1.08469,0.43969,0.90343,0.91121,0.85329,0.89629,0.77585,0.89976,0.83652,0.87277,0.72057,0.56781,1.68356,0.4957,0.92921,0.009406,0.009406,0.009406
30,1895.47,0.48121,1.09203,0.44051,0.90047,0.87419,0.82673,0.88853,0.75985,0.87236,0.8017,0.86667,0.71103,0.60123,1.74965,0.61911,0.95501,0.0094258,0.0094258,0.0094258
32,2925.62,0.46518,1.05271,0.42595,0.89457,0.89176,0.83332,0.89224,0.76226,0.88471,0.82538,0.87513,0.71514,0.58805,1.71154,0.54642,0.94423,0.0093862,0.0093862,0.0093862
31,2012.33,0.47975,1.08553,0.43846,0.90214,0.8958,0.83875,0.89001,0.76496,0.89134,0.81915,0.86694,0.7166,0.57565,1.7129,0.53075,0.93792,0.009406,0.009406,0.009406
33,3044.83,0.46368,1.04853,0.41623,0.89638,0.91593,0.87355,0.90612,0.78919,0.90704,0.86558,0.88818,0.73873,0.57099,1.65213,0.46763,0.93551,0.0093664,0.0093664,0.0093664
32,2128.58,0.47183,1.06524,0.43133,0.89832,0.8894,0.8628,0.9033,0.7753,0.87498,0.84908,0.87791,0.71959,0.56864,1.65991,0.51093,0.93649,0.0093862,0.0093862,0.0093862
34,3163.5,0.46819,1.07576,0.42273,0.89778,0.89322,0.86243,0.90133,0.78303,0.89727,0.83488,0.87963,0.7287,0.56531,1.70975,0.50807,0.93389,0.0093466,0.0093466,0.0093466
33,2247.06,0.47616,1.08531,0.43064,0.90063,0.91549,0.8345,0.89701,0.77316,0.91208,0.82238,0.87952,0.72534,0.57596,1.71075,0.51386,0.93184,0.0093664,0.0093664,0.0093664
35,3280.52,0.46093,1.04742,0.41845,0.89524,0.88215,0.86836,0.90042,0.77914,0.89975,0.83836,0.88314,0.72783,0.5569,1.66354,0.47897,0.93202,0.0093268,0.0093268,0.0093268
34,2363.67,0.45808,1.02416,0.41319,0.89071,0.89475,0.85015,0.89048,0.7684,0.87406,0.84186,0.86726,0.71996,0.56916,1.68534,0.5134,0.93081,0.0093466,0.0093466,0.0093466
36,3397.74,0.45795,1.02619,0.41505,0.89577,0.91085,0.86969,0.90585,0.78051,0.89136,0.85322,0.87869,0.72662,0.57123,1.7167,0.48214,0.93222,0.009307,0.009307,0.009307
35,2481.67,0.45863,1.05233,0.41239,0.89519,0.91125,0.86785,0.90422,0.78833,0.90385,0.85609,0.88329,0.73497,0.5553,1.68501,0.49653,0.92352,0.0093268,0.0093268,0.0093268
37,3515.64,0.45719,1.04653,0.41211,0.89316,0.91358,0.86273,0.90796,0.79037,0.90358,0.85353,0.89215,0.73985,0.55159,1.62106,0.46262,0.928,0.0092872,0.0092872,0.0092872
36,2599.21,0.46013,1.02415,0.41503,0.8939,0.92725,0.85585,0.90223,0.78131,0.91422,0.84252,0.88327,0.73171,0.55426,1.64731,0.48771,0.92969,0.009307,0.009307,0.009307
38,3634.45,0.45008,1.02129,0.40312,0.89021,0.92511,0.86778,0.91058,0.79307,0.91453,0.853,0.88626,0.74476,0.54534,1.6221,0.46175,0.91957,0.0092674,0.0092674,0.0092674
37,2718.07,0.45656,1.03064,0.40872,0.89458,0.92483,0.86468,0.90586,0.77716,0.91447,0.85502,0.88271,0.72659,0.55898,1.64141,0.48299,0.92531,0.0092872,0.0092872,0.0092872
39,3751.63,0.44817,1.01363,0.39608,0.89069,0.92904,0.87449,0.91368,0.7937,0.91315,0.86173,0.89124,0.74031,0.54511,1.6246,0.44108,0.9206,0.0092476,0.0092476,0.0092476
38,2835.7,0.45261,1.01794,0.40107,0.89145,0.91266,0.84812,0.89673,0.77943,0.89557,0.83301,0.87259,0.72744,0.55643,1.6814,0.484,0.93135,0.0092674,0.0092674,0.0092674
40,3869.16,0.44924,1.01213,0.4009,0.89213,0.91902,0.86945,0.90735,0.79604,0.89032,0.84964,0.86988,0.74033,0.53326,1.64194,0.45838,0.91312,0.0092278,0.0092278,0.0092278
39,2953.16,0.44393,1.02289,0.39389,0.88767,0.91466,0.84866,0.89811,0.78615,0.89928,0.83431,0.86894,0.72574,0.54479,1.67392,0.47526,0.91904,0.0092476,0.0092476,0.0092476
41,3986.93,0.44935,1.01314,0.39616,0.89045,0.91616,0.86649,0.90779,0.79379,0.91491,0.85186,0.89031,0.74412,0.54019,1.63934,0.45187,0.91406,0.009208,0.009208,0.009208
40,3071.44,0.44784,1.01712,0.40317,0.89239,0.9145,0.87316,0.90278,0.78727,0.90565,0.86609,0.88567,0.73404,0.54833,1.64521,0.4659,0.92429,0.0092278,0.0092278,0.0092278
42,4103.1,0.44491,1.01325,0.39505,0.89383,0.91804,0.86148,0.90409,0.79482,0.90728,0.85017,0.88351,0.7449,0.5335,1.60621,0.44168,0.91384,0.0091882,0.0091882,0.0091882
41,3189.13,0.44387,1.01549,0.39715,0.89085,0.90648,0.86997,0.90003,0.78064,0.89632,0.85472,0.87269,0.72192,0.54291,1.65969,0.46532,0.92568,0.009208,0.009208,0.009208
43,4219.2,0.44393,1.00962,0.3945,0.88979,0.93437,0.87801,0.91623,0.80333,0.92266,0.86758,0.89535,0.75474,0.53322,1.60169,0.43335,0.91463,0.0091684,0.0091684,0.0091684
42,3307.89,0.43837,1.01413,0.39061,0.88698,0.92063,0.86535,0.90664,0.79727,0.91214,0.85251,0.88813,0.74234,0.52764,1.6395,0.44197,0.91055,0.0091882,0.0091882,0.0091882
44,4336.65,0.43822,0.99238,0.39142,0.88934,0.92771,0.86319,0.91066,0.7981,0.91843,0.85216,0.89117,0.74721,0.52491,1.61999,0.44204,0.9135,0.0091486,0.0091486,0.0091486
43,3425.98,0.43963,1.01693,0.38984,0.88727,0.91644,0.86288,0.90889,0.79809,0.9168,0.84572,0.88723,0.74528,0.53007,1.60266,0.43516,0.91436,0.0091684,0.0091684,0.0091684
45,4453.59,0.43535,0.9869,0.38363,0.88697,0.92136,0.87455,0.9142,0.80691,0.9119,0.85654,0.8869,0.74982,0.5216,1.59528,0.43466,0.90828,0.0091288,0.0091288,0.0091288
44,3544.01,0.43329,0.98569,0.3824,0.88566,0.91799,0.87435,0.90838,0.7935,0.90532,0.8617,0.88791,0.74632,0.5349,1.59499,0.43699,0.91603,0.0091486,0.0091486,0.0091486
46,4569.99,0.42991,1.00068,0.37847,0.8838,0.93024,0.88438,0.91931,0.81268,0.92303,0.86413,0.89405,0.7575,0.52141,1.61117,0.40502,0.90781,0.009109,0.009109,0.009109
45,3662.09,0.43828,1.003,0.38262,0.8901,0.92616,0.86546,0.90872,0.80216,0.91044,0.8516,0.88111,0.74483,0.52561,1.59418,0.44319,0.90774,0.0091288,0.0091288,0.0091288
47,4688.14,0.42959,0.98293,0.37768,0.88508,0.924,0.8819,0.91478,0.80688,0.90361,0.86507,0.89,0.75601,0.51416,1.5882,0.41223,0.90237,0.0090892,0.0090892,0.0090892
