epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3708.82,0.41937,0.9234,0.36662,0.88572,0.92148,0.86717,0.90743,0.7964,0.90982,0.85712,0.88732,0.74938,0.5395,1.58633,0.43849,0.93059,0.0094258,0.0094258,0.0094258
31,3831.67,0.42173,0.94649,0.36821,0.89,0.91441,0.89284,0.92037,0.81205,0.91536,0.86216,0.89367,0.75502,0.51803,1.59441,0.40263,0.9172,0.009406,0.009406,0.009406
32,3954.12,0.40991,0.91809,0.36635,0.88002,0.9183,0.88822,0.92224,0.81758,0.90728,0.87764,0.90036,0.7613,0.51418,1.56178,0.39961,0.90739,0.0093862,0.0093862,0.0093862
33,4077.04,0.40925,0.90534,0.35596,0.88397,0.93003,0.88213,0.91927,0.8116,0.92115,0.87389,0.90228,0.76212,0.51724,1.58768,0.40436,0.91519,0.0093664,0.0093664,0.0093664
34,4198.9,0.41464,0.94384,0.36243,0.88362,0.91997,0.89566,0.92023,0.81989,0.92093,0.87482,0.89968,0.76943,0.50148,1.53918,0.38626,0.90972,0.0093466,0.0093466,0.0093466
35,4320.97,0.40592,0.89835,0.3539,0.88257,0.91404,0.89383,0.92327,0.81975,0.89968,0.88146,0.90147,0.76834,0.49806,1.54432,0.39041,0.89474,0.0093268,0.0093268,0.0093268
36,4443.43,0.40339,0.88861,0.35125,0.88304,0.9217,0.8801,0.91565,0.81568,0.92508,0.85556,0.89582,0.76432,0.49921,1.51541,0.38662,0.90913,0.009307,0.009307,0.009307
37,4566.24,0.40168,0.91786,0.34739,0.87845,0.9278,0.88939,0.92037,0.82139,0.91929,0.87835,0.90377,0.77336,0.48762,1.53909,0.38581,0.90016,0.0092872,0.0092872,0.0092872
38,4690.34,0.39518,0.88319,0.34019,0.87596,0.93872,0.89186,0.92468,0.82993,0.9259,0.88506,0.90595,0.77754,0.47733,1.47717,0.36004,0.89139,0.0092674,0.0092674,0.0092674
39,4813.47,0.39278,0.8759,0.33819,0.87494,0.92837,0.89711,0.9196,0.82674,0.91297,0.87972,0.89434,0.76654,0.4768,1.55897,0.36949,0.8864,0.0092476,0.0092476,0.0092476
40,4936.46,0.39368,0.87408,0.33882,0.879,0.93281,0.89956,0.92701,0.82888,0.91373,0.88454,0.90082,0.77186,0.49077,1.53326,0.36338,0.90088,0.0092278,0.0092278,0.0092278
41,5060.98,0.38777,0.86582,0.33475,0.87468,0.9389,0.89265,0.92742,0.83218,0.93449,0.88138,0.91187,0.78118,0.47683,1.49818,0.35889,0.89102,0.009208,0.009208,0.009208
42,5184.04,0.38747,0.86178,0.33238,0.87616,0.92359,0.90746,0.92752,0.83033,0.91754,0.89104,0.90972,0.78016,0.47728,1.48149,0.35277,0.89237,0.0091882,0.0091882,0.0091882
43,5308.25,0.38811,0.85713,0.33449,0.87662,0.93664,0.89534,0.92678,0.83503,0.92394,0.8875,0.90902,0.77997,0.47864,1.46464,0.35709,0.88984,0.0091684,0.0091684,0.0091684
44,5432.08,0.38266,0.83794,0.33135,0.8728,0.92495,0.89972,0.92921,0.8363,0.94496,0.86491,0.90562,0.78112,0.4744,1.46747,0.35187,0.89163,0.0091486,0.0091486,0.0091486
45,5555.37,0.3796,0.85079,0.32408,0.87189,0.93432,0.90163,0.92945,0.83633,0.93925,0.87513,0.90878,0.78626,0.46744,1.49818,0.34446,0.89008,0.0091288,0.0091288,0.0091288
46,5679.99,0.37893,0.86648,0.32361,0.87189,0.92817,0.89948,0.92956,0.83794,0.92198,0.89378,0.91374,0.79464,0.46386,1.44088,0.34402,0.88803,0.009109,0.009109,0.009109
47,5805.71,0.37976,0.83882,0.32137,0.87247,0.94543,0.89421,0.92713,0.83957,0.93477,0.88587,0.91034,0.79331,0.45792,1.42665,0.34315,0.88085,0.0090892,0.0090892,0.0090892
48,5931.74,0.37586,0.83699,0.31999,0.87008,0.93634,0.9115,0.9325,0.84351,0.93064,0.89686,0.91342,0.79008,0.46103,1.45355,0.33405,0.88482,0.0090694,0.0090694,0.0090694
49,6060.07,0.37276,0.83289,0.31661,0.87232,0.93427,0.90514,0.93002,0.84396,0.92646,0.89479,0.91185,0.79167,0.45259,1.45082,0.33414,0.87961,0.0090496,0.0090496,0.0090496
50,6187.27,0.36937,0.83193,0.31107,0.87014,0.93815,0.90696,0.93244,0.84587,0.9315,0.89909,0.91464,0.79388,0.45319,1.4187,0.32154,0.87883,0.0090298,0.0090298,0.0090298
51,6314.6,0.37171,0.82886,0.31592,0.86905,0.92372,0.91038,0.93142,0.84242,0.91144,0.90057,0.91293,0.79381,0.45842,1.46379,0.34552,0.88288,0.00901,0.00901,0.00901
52,6441.22,0.37196,0.82847,0.31119,0.87121,0.93622,0.90973,0.93169,0.84357,0.92851,0.89748,0.91431,0.79936,0.45539,1.41135,0.33991,0.88126,0.0089902,0.0089902,0.0089902
53,6566.75,0.36627,0.81296,0.30707,0.86818,0.93562,0.90871,0.93493,0.84472,0.92788,0.90085,0.9177,0.79864,0.46166,1.4249,0.32879,0.88729,0.0089704,0.0089704,0.0089704
54,6690.02,0.35949,0.82311,0.30197,0.86421,0.94801,0.89768,0.93262,0.84465,0.93867,0.88688,0.91306,0.79711,0.45344,1.42039,0.33226,0.87974,0.0089506,0.0089506,0.0089506
55,6812.98,0.36483,0.82547,0.30746,0.86922,0.9378,0.90468,0.93327,0.84771,0.92604,0.89389,0.91247,0.79545,0.44704,1.41701,0.32309,0.87854,0.0089308,0.0089308,0.0089308
56,6934.82,0.36235,0.81343,0.30644,0.86965,0.94291,0.90815,0.93119,0.84675,0.92958,0.89742,0.91179,0.79803,0.44998,1.37902,0.31717,0.87968,0.008911,0.008911,0.008911
57,7057.3,0.36192,0.82177,0.30532,0.86667,0.94513,0.90043,0.93349,0.84957,0.93735,0.8938,0.91913,0.80424,0.45314,1.41173,0.3173,0.87821,0.0088912,0.0088912,0.0088912
58,7181.18,0.36211,0.83406,0.30653,0.86729,0.93399,0.91493,0.93212,0.84944,0.92981,0.89924,0.91622,0.79805,0.44343,1.41468,0.31793,0.87636,0.0088714,0.0088714,0.0088714
59,7304.37,0.35413,0.79649,0.2981,0.86345,0.93962,0.91466,0.93815,0.85595,0.93862,0.89897,0.91886,0.80531,0.43958,1.39496,0.30055,0.87186,0.0088516,0.0088516,0.0088516
60,7428.17,0.35472,0.81645,0.30064,0.86598,0.94533,0.89664,0.93254,0.85416,0.93549,0.88853,0.91562,0.80402,0.43965,1.38411,0.31983,0.87576,0.0088318,0.0088318,0.0088318
61,7550.89,0.3513,0.77984,0.29334,0.86433,0.92515,0.92187,0.93573,0.85417,0.93803,0.89266,0.91903,0.80788,0.43578,1.40586,0.30483,0.86923,0.008812,0.008812,0.008812
62,7673.79,0.35547,0.78538,0.29963,0.86663,0.93383,0.91462,0.93167,0.85267,0.92908,0.90715,0.91833,0.80502,0.43254,1.40932,0.30792,0.86841,0.0087922,0.0087922,0.0087922
63,7798.39,0.3531,0.78314,0.29564,0.86303,0.94772,0.90338,0.93583,0.85505,0.93918,0.89397,0.91945,0.8078,0.43841,1.37716,0.30623,0.87307,0.0087724,0.0087724,0.0087724
64,7920.29,0.35494,0.81415,0.29657,0.86605,0.9312,0.91855,0.93703,0.85796,0.92067,0.9088,0.9206,0.80918,0.43537,1.373,0.30594,0.86974,0.0087526,0.0087526,0.0087526
65,8041.94,0.34811,0.78892,0.28743,0.86427,0.93999,0.91236,0.93569,0.85548,0.93349,0.89977,0.91915,0.80932,0.43705,1.37001,0.30797,0.87134,0.0087328,0.0087328,0.0087328
66,8163.62,0.34831,0.77427,0.28765,0.8635,0.94663,0.90835,0.93268,0.85647,0.93621,0.89967,0.91679,0.80645,0.43108,1.35183,0.30521,0.86847,0.008713,0.008713,0.008713
67,8283.02,0.3544,0.78837,0.29482,0.86822,0.94053,0.91072,0.93419,0.85571,0.93046,0.89708,0.91524,0.80661,0.43092,1.35284,0.30435,0.86879,0.0086932,0.0086932,0.0086932
68,8403.59,0.34577,0.76808,0.28505,0.86254,0.95483,0.90507,0.93709,0.85982,0.94847,0.89596,0.92161,0.81276,0.42495,1.33741,0.29324,0.86777,0.0086734,0.0086734,0.0086734
69,8523.38,0.34951,0.78002,0.28635,0.86391,0.95094,0.90979,0.93921,0.86049,0.94333,0.90099,0.92381,0.81383,0.42949,1.34851,0.2943,0.86947,0.0086536,0.0086536,0.0086536
70,8644.23,0.34744,0.78293,0.28823,0.86091,0.94226,0.91089,0.93613,0.85991,0.93667,0.90336,0.92266,0.81323,0.42424,1.36254,0.29181,0.86312,0.0086338,0.0086338,0.0086338
71,8764.44,0.34891,0.79016,0.29176,0.86344,0.94029,0.911,0.93644,0.86024,0.93056,0.90314,0.91978,0.81371,0.4255,1.3312,0.29153,0.86703,0.008614,0.008614,0.008614
72,8887.05,0.34495,0.76154,0.28459,0.86199,0.94275,0.91425,0.93636,0.85954,0.93159,0.90701,0.92015,0.81194,0.42092,1.31822,0.29597,0.86517,0.0085942,0.0085942,0.0085942
73,9010.82,0.34089,0.74571,0.28105,0.86063,0.95098,0.91415,0.93658,0.85905,0.94331,0.90744,0.92194,0.81328,0.42755,1.32192,0.29882,0.86866,0.0085744,0.0085744,0.0085744
74,9134.41,0.34297,0.78569,0.28193,0.86365,0.95495,0.91026,0.93653,0.86132,0.94795,0.90111,0.92132,0.81569,0.4196,1.32187,0.29187,0.86479,0.0085546,0.0085546,0.0085546
75,9256.81,0.34278,0.77675,0.28684,0.86407,0.95013,0.91763,0.9393,0.86476,0.94439,0.9116,0.92546,0.81757,0.41444,1.32113,0.28463,0.86069,0.0085348,0.0085348,0.0085348
76,9377.64,0.34352,0.75327,0.28121,0.86485,0.95735,0.90472,0.93763,0.86449,0.95084,0.89933,0.9248,0.82008,0.41458,1.30159,0.29127,0.8588,0.008515,0.008515,0.008515
77,9498.55,0.33527,0.74918,0.27538,0.85756,0.95017,0.9138,0.93977,0.86698,0.9466,0.90431,0.92567,0.82254,0.41631,1.34199,0.28359,0.86216,0.0084952,0.0084952,0.0084952
78,9615.94,0.33903,0.76639,0.27906,0.85842,0.95652,0.91215,0.93828,0.86601,0.94816,0.90517,0.92495,0.81974,0.41886,1.32423,0.28548,0.86343,0.0084754,0.0084754,0.0084754
79,9733.93,0.33559,0.73658,0.27947,0.86104,0.95334,0.91196,0.9387,0.86356,0.94459,0.90489,0.92414,0.819,0.41714,1.31138,0.28953,0.86195,0.0084556,0.0084556,0.0084556
80,9852.32,0.33807,0.77233,0.27682,0.86067,0.95252,0.91454,0.93814,0.86543,0.94593,0.90871,0.92582,0.82032,0.41611,1.29868,0.28757,0.86179,0.0084358,0.0084358,0.0084358
81,9969.87,0.33713,0.7548,0.27757,0.86199,0.95295,0.91331,0.93783,0.86426,0.94568,0.90727,0.92517,0.81963,0.41395,1.31614,0.28781,0.86018,0.008416,0.008416,0.008416
82,10087.9,0.33438,0.75358,0.27387,0.85819,0.95032,0.9161,0.93883,0.86805,0.94498,0.91041,0.92565,0.82281,0.41048,1.31781,0.28089,0.85964,0.0083962,0.0083962,0.0083962
83,10205.2,0.33359,0.75166,0.27665,0.85915,0.94611,0.92509,0.93909,0.86701,0.9488,0.90877,0.92689,0.82413,0.40929,1.31508,0.27601,0.85836,0.0083764,0.0083764,0.0083764
84,10323.3,0.33409,0.74827,0.27238,0.85821,0.94869,0.92298,0.93877,0.86634,0.94159,0.91476,0.92629,0.82363,0.40955,1.29849,0.27364,0.85895,0.0083566,0.0083566,0.0083566
85,10441.2,0.33421,0.73587,0.27525,0.85934,0.94685,0.91837,0.93756,0.86746,0.94433,0.91081,0.92642,0.82273,0.40832,1.30267,0.27799,0.85917,0.0083368,0.0083368,0.0083368
86,10560.4,0.33262,0.74049,0.27502,0.85917,0.95175,0.92078,0.93659,0.86638,0.94521,0.91311,0.92254,0.82278,0.41048,1.30808,0.28089,0.86073,0.008317,0.008317,0.008317
87,10679.9,0.33104,0.75965,0.27458,0.8571,0.95422,0.91105,0.93548,0.86734,0.94858,0.90512,0.92396,0.8231,0.40539,1.29579,0.27856,0.85892,0.0082972,0.0082972,0.0082972
88,10798.1,0.33003,0.74623,0.27052,0.85884,0.95726,0.91243,0.93602,0.86859,0.95174,0.90768,0.92525,0.82388,0.40298,1.2967,0.27923,0.85809,0.0082774,0.0082774,0.0082774
89,10919.2,0.32929,0.73114,0.2696,0.85739,0.95769,0.91427,0.93734,0.86703,0.95201,0.90926,0.92554,0.82419,0.40581,1.30207,0.27837,0.85889,0.0082576,0.0082576,0.0082576
90,11040.4,0.3341,0.75336,0.27201,0.85872,0.95203,0.91746,0.93894,0.86787,0.94656,0.90542,0.92232,0.8239,0.40686,1.29138,0.27641,0.85905,0.0082378,0.0082378,0.0082378
91,11161,0.321,0.72457,0.26357,0.85709,0.95118,0.91825,0.94123,0.86918,0.94984,0.90692,0.92535,0.82634,0.40666,1.28469,0.27119,0.85778,0.008218,0.008218,0.008218
92,11284.8,0.32642,0.73866,0.26579,0.85739,0.94686,0.92357,0.94083,0.86893,0.9403,0.91349,0.92549,0.82623,0.40682,1.2825,0.2699,0.8584,0.0081982,0.0081982,0.0081982
93,11409.6,0.32512,0.72894,0.26361,0.85682,0.94693,0.924,0.94157,0.86911,0.93755,0.91484,0.92441,0.8269,0.40659,1.27408,0.27048,0.85764,0.0081784,0.0081784,0.0081784
94,11533.2,0.3262,0.74987,0.26403,0.85598,0.94872,0.92471,0.94183,0.87125,0.94012,0.91646,0.92661,0.83022,0.40638,1.27543,0.26656,0.8567,0.0081586,0.0081586,0.0081586
95,11654.7,0.3258,0.72047,0.26554,0.8561,0.94553,0.92681,0.94215,0.87096,0.95227,0.90677,0.92854,0.83036,0.40803,1.27899,0.26763,0.85573,0.0081388,0.0081388,0.0081388
96,11775.3,0.32457,0.71919,0.26402,0.85921,0.95926,0.91305,0.94091,0.87132,0.95458,0.90517,0.92919,0.83003,0.4081,1.27335,0.26935,0.85584,0.008119,0.008119,0.008119
97,11893.8,0.32596,0.71048,0.26251,0.85635,0.95752,0.91479,0.94082,0.87277,0.95378,0.90856,0.93019,0.83051,0.40764,1.25592,0.26876,0.85494,0.0080992,0.0080992,0.0080992
98,12013.5,0.3263,0.73314,0.26815,0.85593,0.95594,0.91475,0.9405,0.87252,0.95188,0.90478,0.92855,0.83176,0.40485,1.25663,0.26851,0.85292,0.0080794,0.0080794,0.0080794
99,12131.9,0.32269,0.71736,0.26504,0.85566,0.95112,0.91783,0.94143,0.87438,0.9479,0.9078,0.92824,0.83173,0.40298,1.2771,0.26673,0.85266,0.0080596,0.0080596,0.0080596
100,12249.6,0.32047,0.71941,0.2607,0.85407,0.95956,0.91081,0.9412,0.87542,0.95138,0.90372,0.92827,0.83237,0.40034,1.28422,0.26391,0.85212,0.0080398,0.0080398,0.0080398
