epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3915.2,0.74281,1.23424,0.6589,1.02983,0.90663,0.82013,0.88511,0.75352,0.90461,0.82042,0.8694,0.6998,0.63224,2.22686,0.52356,1.00923,0.0097228,0.0097228,0.0097228
30,4037.65,0.74244,1.24461,0.65456,1.02953,0.90683,0.80813,0.88246,0.7494,0.91106,0.80151,0.87009,0.69852,0.63501,2.24524,0.53453,1.01154,0.0097129,0.0097129,0.0097129
31,4161.42,0.74096,1.23701,0.65831,1.03119,0.89767,0.80557,0.88122,0.7508,0.89955,0.80412,0.86874,0.70264,0.62493,2.3361,0.53887,1.00183,0.009703,0.009703,0.009703
32,4284.02,0.73686,1.22266,0.64294,1.02289,0.91674,0.81154,0.88856,0.7534,0.89635,0.82199,0.87356,0.70342,0.63151,2.14795,0.51712,1.00247,0.0096931,0.0096931,0.0096931
33,4408.02,0.72818,1.2022,0.63625,1.02105,0.9134,0.81421,0.88501,0.75695,0.91164,0.81373,0.87249,0.70185,0.61604,2.25092,0.51667,0.99444,0.0096832,0.0096832,0.0096832
34,4531.13,0.72365,1.20439,0.62967,1.01658,0.90069,0.81939,0.88939,0.75958,0.89861,0.81723,0.87864,0.71092,0.61236,2.22541,0.50705,0.98355,0.0096733,0.0096733,0.0096733
35,4653.79,0.71831,1.19169,0.61999,1.01317,0.91411,0.83572,0.89427,0.76506,0.9202,0.8247,0.88094,0.71267,0.60846,2.18844,0.48394,0.99216,0.0096634,0.0096634,0.0096634
36,4776.7,0.72193,1.20293,0.62405,1.01617,0.90257,0.83547,0.89452,0.77221,0.8986,0.83485,0.88014,0.71949,0.58922,2.22857,0.47743,0.97254,0.0096535,0.0096535,0.0096535
37,4900.53,0.71967,1.19881,0.62335,1.01682,0.90727,0.8417,0.89836,0.77164,0.91197,0.83473,0.88492,0.72098,0.59697,2.21045,0.47934,0.976,0.0096436,0.0096436,0.0096436
38,5023.5,0.70791,1.1673,0.60675,1.00793,0.90721,0.84914,0.89599,0.77255,0.90369,0.84565,0.88292,0.7233,0.60038,2.10474,0.47083,0.98723,0.0096337,0.0096337,0.0096337
39,5147.7,0.71462,1.1815,0.61568,1.01397,0.91304,0.83508,0.89907,0.77306,0.90893,0.83441,0.88663,0.72198,0.59546,2.14058,0.46782,0.98534,0.0096238,0.0096238,0.0096238
40,5270.97,0.71347,1.18489,0.61611,1.01213,0.89888,0.8483,0.90269,0.77866,0.89402,0.84343,0.88601,0.72212,0.5935,2.21787,0.45978,0.97976,0.0096139,0.0096139,0.0096139
41,5405.78,0.70999,1.17495,0.60633,1.00823,0.93029,0.82725,0.90044,0.77619,0.92397,0.82131,0.88667,0.72317,0.59049,2.22259,0.45719,0.97302,0.009604,0.009604,0.009604
42,5529.58,0.7081,1.17298,0.60825,1.00911,0.91456,0.84847,0.90082,0.78099,0.91307,0.84576,0.88999,0.72835,0.58315,2.06457,0.45354,0.97337,0.0095941,0.0095941,0.0095941
43,5653.27,0.70492,1.17317,0.60399,1.00496,0.91135,0.85567,0.9052,0.78445,0.90967,0.84845,0.8916,0.73156,0.57803,2.11569,0.44773,0.96954,0.0095842,0.0095842,0.0095842
44,5776.93,0.69804,1.15331,0.5925,1.00108,0.9082,0.85103,0.90323,0.77945,0.90311,0.8463,0.88987,0.72882,0.58799,2.14201,0.46187,0.9775,0.0095743,0.0095743,0.0095743
45,5899.46,0.68964,1.13775,0.58495,0.9962,0.9227,0.85201,0.90559,0.78802,0.92016,0.84903,0.8945,0.73563,0.57203,2.26378,0.44134,0.96465,0.0095644,0.0095644,0.0095644
46,6022.2,0.68945,1.13563,0.58341,0.99704,0.92354,0.85048,0.9059,0.78921,0.92215,0.84447,0.89625,0.73528,0.56473,2.17062,0.43957,0.95997,0.0095545,0.0095545,0.0095545
47,6145.63,0.69233,1.13711,0.58692,0.99919,0.91105,0.86422,0.91126,0.79504,0.90614,0.85913,0.89988,0.73975,0.56602,2.19756,0.42907,0.96447,0.0095446,0.0095446,0.0095446
48,6268.5,0.69122,1.13934,0.58312,0.99839,0.91053,0.85891,0.90962,0.79459,0.90645,0.85807,0.89655,0.74049,0.56511,2.09862,0.42905,0.96152,0.0095347,0.0095347,0.0095347
49,6397.01,0.6863,1.14154,0.58131,0.99498,0.91436,0.85866,0.90832,0.79377,0.90743,0.85548,0.89556,0.74123,0.55662,2.17395,0.43148,0.9534,0.0095248,0.0095248,0.0095248
50,6522.05,0.68373,1.12022,0.57415,0.99385,0.9275,0.85105,0.91079,0.79413,0.92309,0.84472,0.89636,0.74048,0.56422,2.19339,0.428,0.96361,0.0095149,0.0095149,0.0095149
51,6646.26,0.68663,1.13397,0.58396,0.99791,0.92191,0.85533,0.91015,0.79471,0.92033,0.85325,0.89657,0.7406,0.56549,2.12177,0.43279,0.9589,0.009505,0.009505,0.009505
52,6770.89,0.68604,1.12567,0.57843,0.99595,0.91079,0.86172,0.91254,0.79748,0.91273,0.85396,0.8958,0.74369,0.55955,2.14728,0.41132,0.96089,0.0094951,0.0094951,0.0094951
53,6896.34,0.67777,1.12161,0.57369,0.99259,0.92496,0.85911,0.91232,0.79605,0.92607,0.85884,0.90276,0.74448,0.55696,2.06899,0.41357,0.95784,0.0094852,0.0094852,0.0094852
54,7021.4,0.68034,1.12413,0.57807,0.99425,0.91709,0.86726,0.91394,0.79757,0.91344,0.86469,0.90173,0.74521,0.56199,2.14943,0.40759,0.96405,0.0094753,0.0094753,0.0094753
55,7152.98,0.67305,1.10167,0.56449,0.98672,0.92117,0.86646,0.91438,0.79996,0.92244,0.86637,0.90448,0.74455,0.55024,2.18716,0.40214,0.95174,0.0094654,0.0094654,0.0094654
56,7284.48,0.67315,1.11028,0.5587,0.98676,0.91418,0.86832,0.91129,0.79922,0.91474,0.8665,0.90158,0.74643,0.54848,2.08376,0.40699,0.95446,0.0094555,0.0094555,0.0094555
57,7417.48,0.67592,1.11707,0.56225,0.98804,0.93169,0.85126,0.91177,0.80174,0.93106,0.84966,0.90068,0.74858,0.54418,2.11324,0.40591,0.94575,0.0094456,0.0094456,0.0094456
58,7540.47,0.67159,1.11164,0.55752,0.98757,0.9269,0.86441,0.91474,0.80589,0.92455,0.86355,0.9067,0.753,0.54073,2.08257,0.3927,0.94394,0.0094357,0.0094357,0.0094357
59,7661.83,0.66909,1.09426,0.55557,0.98702,0.93262,0.86684,0.91642,0.80516,0.93111,0.86181,0.9075,0.75421,0.53988,2.165,0.39128,0.94506,0.0094258,0.0094258,0.0094258
60,7785.87,0.66611,1.0963,0.55299,0.98287,0.9239,0.86411,0.91612,0.8068,0.92026,0.86125,0.90579,0.75325,0.53539,2.16736,0.39326,0.94143,0.0094159,0.0094159,0.0094159
61,7908.55,0.65963,1.08425,0.54526,0.98111,0.92399,0.86923,0.91636,0.8055,0.91891,0.87106,0.90811,0.75441,0.53906,1.99622,0.38466,0.94217,0.009406,0.009406,0.009406
62,8037.36,0.66888,1.09565,0.55775,0.98555,0.92933,0.87148,0.91719,0.80839,0.92571,0.86945,0.91029,0.75723,0.53529,2.0464,0.38468,0.93967,0.0093961,0.0093961,0.0093961
