epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1341.49,0.99291,1.8422,1.11712,1.15321,0.80801,0.68212,0.75588,0.5876,0.80367,0.66563,0.73296,0.54626,0.90225,2.78383,0.99312,1.10266,0.0097129,0.0097129,0.0097129
31,1389.34,0.99438,1.85585,1.12131,1.15558,0.80864,0.659,0.75674,0.59654,0.78874,0.65099,0.73189,0.55414,0.86126,2.70045,0.98847,1.07855,0.009703,0.009703,0.009703
32,1437.87,0.98804,1.85483,1.10262,1.14636,0.80454,0.61201,0.7258,0.56359,0.80472,0.60058,0.70485,0.5295,0.91352,2.77428,1.09458,1.10934,0.0096931,0.0096931,0.0096931
33,1477.49,0.98918,1.85572,1.10258,1.14738,0.827,0.66845,0.76474,0.59666,0.81716,0.65831,0.74449,0.55428,0.86346,2.79102,0.94278,1.08086,0.0096832,0.0096832,0.0096832
34,1522.79,0.98354,1.84711,1.08665,1.14576,0.83759,0.66875,0.76944,0.61379,0.82311,0.66686,0.75127,0.56982,0.85148,2.7376,0.95008,1.07463,0.0096733,0.0096733,0.0096733
35,1562.68,0.98132,1.8341,1.0716,1.1448,0.80421,0.66369,0.75534,0.59371,0.79401,0.65353,0.73389,0.54946,0.87551,2.74903,1.00655,1.09155,0.0096634,0.0096634,0.0096634
36,1605.72,0.96816,1.82544,1.06201,1.13675,0.83752,0.69594,0.78709,0.63051,0.83362,0.68604,0.76678,0.58718,0.80283,2.64519,0.87813,1.04569,0.0096535,0.0096535,0.0096535
37,1654.52,0.97136,1.80532,1.05531,1.13554,0.85861,0.68885,0.77767,0.62037,0.85352,0.66202,0.75346,0.57648,0.84571,2.77316,0.94211,1.07149,0.0096436,0.0096436,0.0096436
38,1698.21,0.96217,1.80434,1.04287,1.13338,0.85894,0.66847,0.76807,0.61282,0.85203,0.66308,0.74816,0.57222,0.85395,2.77047,0.94521,1.08765,0.0096337,0.0096337,0.0096337
39,1745.67,0.96601,1.80093,1.03947,1.13606,0.83069,0.66371,0.75903,0.60867,0.81717,0.65202,0.73963,0.56761,0.84786,2.61105,0.95331,1.07374,0.0096238,0.0096238,0.0096238
40,1798.34,0.95904,1.80454,1.03955,1.13075,0.82181,0.64997,0.75781,0.59551,0.80537,0.64139,0.73064,0.55474,0.87629,2.69766,1.03493,1.09164,0.0096139,0.0096139,0.0096139
41,1840.89,0.96559,1.80673,1.04735,1.13569,0.81931,0.68259,0.78018,0.61672,0.81306,0.67718,0.76089,0.57073,0.85037,2.60339,0.92312,1.084,0.009604,0.009604,0.009604
42,1887.39,0.96376,1.79598,1.0438,1.13095,0.8323,0.64549,0.74587,0.59671,0.81944,0.63939,0.72683,0.55718,0.86071,2.73384,0.96203,1.08446,0.0095941,0.0095941,0.0095941
43,1932.38,0.95467,1.77503,1.02364,1.12453,0.84568,0.69903,0.79158,0.63893,0.84053,0.6915,0.77556,0.59702,0.80237,2.62677,0.84373,1.05437,0.0095842,0.0095842,0.0095842
44,1987.93,0.96329,1.78895,1.02199,1.12992,0.83425,0.69696,0.78852,0.62367,0.82859,0.69054,0.77001,0.59023,0.84313,2.72037,0.88045,1.06419,0.0095743,0.0095743,0.0095743
45,2033.67,0.9558,1.78059,1.01402,1.12594,0.86791,0.72234,0.81168,0.65436,0.85888,0.71133,0.78646,0.60522,0.80172,2.55624,0.77183,1.03707,0.0095644,0.0095644,0.0095644
46,2071.64,0.93683,1.76491,0.99739,1.11651,0.87223,0.73732,0.81947,0.6626,0.86209,0.72829,0.79571,0.61563,0.78573,2.61857,0.76149,1.03171,0.0095545,0.0095545,0.0095545
47,2117.09,0.95102,1.78712,1.01646,1.12591,0.84707,0.72657,0.80847,0.65163,0.84581,0.71376,0.7834,0.60327,0.82443,2.5488,0.81265,1.04945,0.0095446,0.0095446,0.0095446
48,2173.29,0.94305,1.75848,1.0095,1.12311,0.84995,0.73645,0.8162,0.66023,0.84267,0.73033,0.79629,0.61251,0.79113,2.53388,0.76615,1.04034,0.0095347,0.0095347,0.0095347
49,2220.63,0.94921,1.7777,0.99541,1.12373,0.86745,0.72327,0.81326,0.65614,0.86244,0.71822,0.79828,0.61131,0.79533,2.55114,0.81269,1.04027,0.0095248,0.0095248,0.0095248
50,2260.73,0.93983,1.7447,0.98897,1.11999,0.85171,0.73208,0.81419,0.66107,0.84447,0.72635,0.79649,0.61268,0.79346,2.74502,0.78535,1.04225,0.0095149,0.0095149,0.0095149
51,2295.99,0.93447,1.73812,0.98187,1.11752,0.87732,0.72817,0.81131,0.65599,0.8666,0.7104,0.78944,0.61188,0.81372,2.56182,0.77132,1.05405,0.009505,0.009505,0.009505
52,2343.95,0.92224,1.70619,0.96605,1.10588,0.88066,0.72073,0.81847,0.66496,0.87048,0.71243,0.79514,0.61333,0.78707,2.64295,0.78261,1.03314,0.0094951,0.0094951,0.0094951
53,2394,0.93006,1.7295,0.9777,1.11041,0.86504,0.72432,0.81163,0.65911,0.86631,0.71405,0.79404,0.61898,0.79978,2.62831,0.79453,1.03892,0.0094852,0.0094852,0.0094852
54,2429.41,0.93597,1.75562,0.98885,1.12176,0.87544,0.73834,0.81995,0.66186,0.8724,0.73384,0.80347,0.6131,0.79244,2.56349,0.78216,1.03458,0.0094753,0.0094753,0.0094753
55,2464.55,0.92537,1.7337,0.96626,1.1078,0.86238,0.72815,0.81418,0.66237,0.8597,0.71686,0.79649,0.61679,0.78973,2.54739,0.774,1.03894,0.0094654,0.0094654,0.0094654
56,2499.86,0.91606,1.70511,0.94657,1.10099,0.87343,0.7407,0.82318,0.67386,0.86414,0.73053,0.80131,0.62495,0.76794,2.48422,0.74514,1.02475,0.0094555,0.0094555,0.0094555
57,2535.3,0.93458,1.73057,0.97022,1.11129,0.85954,0.71485,0.79966,0.63468,0.86518,0.69791,0.77563,0.58965,0.82696,2.62823,0.84954,1.06544,0.0094456,0.0094456,0.0094456
58,2570.55,0.94226,1.76379,0.99214,1.12002,0.88172,0.73525,0.82745,0.67308,0.87202,0.72804,0.80844,0.62542,0.77425,2.42873,0.73628,1.02233,0.0094357,0.0094357,0.0094357
59,2606.27,0.92478,1.72573,0.96077,1.10989,0.89957,0.74672,0.83783,0.68366,0.8855,0.73493,0.81333,0.63418,0.77265,2.46615,0.70173,1.02356,0.0094258,0.0094258,0.0094258
60,2641.6,0.91969,1.69069,0.94127,1.10377,0.87819,0.74418,0.83294,0.67634,0.86919,0.73869,0.81326,0.63592,0.76929,2.64522,0.71166,1.01615,0.0094159,0.0094159,0.0094159
61,2677.65,0.92072,1.72173,0.93522,1.10327,0.85746,0.75115,0.82652,0.67775,0.84904,0.74502,0.81022,0.63054,0.75717,2.46249,0.75165,1.01641,0.009406,0.009406,0.009406
62,2719.91,0.9252,1.70661,0.95447,1.1058,0.87097,0.73429,0.82266,0.67376,0.86186,0.72644,0.80241,0.62997,0.76402,2.54183,0.75698,1.00811,0.0093961,0.0093961,0.0093961
63,2755.36,0.9157,1.69015,0.93129,1.10094,0.88897,0.76065,0.84554,0.69059,0.87574,0.74877,0.81892,0.63849,0.74546,2.45893,0.69108,1.0081,0.0093862,0.0093862,0.0093862
64,2809.21,0.90676,1.70333,0.93431,1.10052,0.86259,0.7677,0.8409,0.68944,0.85844,0.76333,0.8227,0.64249,0.75195,2.52369,0.68977,1.01636,0.0093763,0.0093763,0.0093763
65,2844.59,0.91198,1.69853,0.92386,1.10279,0.90263,0.76006,0.84548,0.69345,0.89006,0.75046,0.82441,0.64846,0.74936,2.41905,0.67239,1.00974,0.0093664,0.0093664,0.0093664
66,2880.23,0.9205,1.7115,0.93999,1.1039,0.90178,0.75764,0.84035,0.68602,0.88992,0.7564,0.82551,0.64379,0.75877,2.4165,0.71246,1.01152,0.0093565,0.0093565,0.0093565
67,2921.5,0.90803,1.67648,0.92253,1.09783,0.8809,0.77545,0.84525,0.68987,0.87136,0.76774,0.82332,0.64487,0.75607,2.68382,0.67263,1.01044,0.0093466,0.0093466,0.0093466
68,2956.95,0.91276,1.69174,0.92941,1.09851,0.87735,0.77544,0.84387,0.69703,0.87653,0.75746,0.82322,0.64507,0.74179,2.57296,0.67178,1.00297,0.0093367,0.0093367,0.0093367
69,2992.41,0.91637,1.70872,0.93309,1.10258,0.88742,0.7732,0.8459,0.69206,0.87707,0.75717,0.8216,0.64587,0.75931,2.37118,0.68239,1.01605,0.0093268,0.0093268,0.0093268
70,3027.79,0.90687,1.69914,0.92335,1.09663,0.88458,0.76725,0.84635,0.6987,0.87327,0.7735,0.83334,0.652,0.73879,2.34178,0.65606,1.00426,0.0093169,0.0093169,0.0093169
71,3064.74,0.90781,1.68402,0.92538,1.09802,0.88462,0.77267,0.85204,0.70188,0.87635,0.76462,0.83239,0.65465,0.74378,2.55444,0.65524,1.01085,0.009307,0.009307,0.009307
72,3100,0.90281,1.66809,0.9181,1.09819,0.90334,0.76334,0.85245,0.70045,0.89936,0.7501,0.83178,0.65684,0.74871,2.45321,0.64969,1.00694,0.0092971,0.0092971,0.0092971
73,3135.09,0.90856,1.67434,0.91401,1.0955,0.86753,0.79747,0.86094,0.71202,0.88934,0.77088,0.84293,0.6629,0.72208,2.51021,0.61436,0.99047,0.0092872,0.0092872,0.0092872
74,3170.59,0.90571,1.68857,0.91827,1.0947,0.89777,0.76579,0.85247,0.70839,0.89287,0.76057,0.83599,0.65961,0.71771,2.47793,0.64367,0.98964,0.0092773,0.0092773,0.0092773
75,3205.95,0.90897,1.69235,0.9231,1.09458,0.88012,0.78127,0.85284,0.70909,0.87798,0.77201,0.83594,0.66112,0.72244,2.46973,0.64177,0.98617,0.0092674,0.0092674,0.0092674
76,3241.41,0.89298,1.65292,0.90151,1.08904,0.89943,0.7764,0.85557,0.71209,0.89102,0.76979,0.83955,0.66198,0.71353,2.58118,0.62191,0.98255,0.0092575,0.0092575,0.0092575
77,3292.07,0.89653,1.66487,0.90227,1.09432,0.90271,0.78045,0.85681,0.70844,0.90339,0.76887,0.84091,0.66218,0.72478,2.36724,0.64244,0.99089,0.0092476,0.0092476,0.0092476
78,3346.87,0.89347,1.65053,0.89058,1.08192,0.90135,0.77011,0.85942,0.71076,0.9003,0.76139,0.84113,0.66768,0.71732,2.44672,0.61786,0.98637,0.0092377,0.0092377,0.0092377
79,3403.65,0.90293,1.67932,0.9118,1.09242,0.91077,0.77431,0.85692,0.71059,0.90954,0.76964,0.83818,0.66824,0.72196,2.61986,0.61298,0.9883,0.0092278,0.0092278,0.0092278
80,3470.66,0.89618,1.67226,0.91069,1.08984,0.89749,0.78812,0.85847,0.71436,0.89713,0.77325,0.83909,0.66693,0.72158,2.49933,0.62829,0.99146,0.0092179,0.0092179,0.0092179
81,3506.17,0.8997,1.66838,0.89726,1.08751,0.90329,0.77504,0.86127,0.7089,0.89436,0.76722,0.84184,0.66374,0.74071,2.43465,0.65155,0.99503,0.009208,0.009208,0.009208
82,3541.47,0.90086,1.66056,0.89876,1.09049,0.91106,0.77024,0.8648,0.71557,0.91,0.77082,0.84979,0.67541,0.72047,2.41046,0.6106,0.99195,0.0091981,0.0091981,0.0091981
83,3585.66,0.89771,1.6776,0.90897,1.09207,0.91009,0.79163,0.86628,0.71615,0.90459,0.78658,0.84763,0.67351,0.72304,2.25589,0.59929,0.98798,0.0091882,0.0091882,0.0091882
84,3620.85,0.8798,1.63328,0.87193,1.08153,0.92,0.77356,0.86596,0.72067,0.91385,0.77117,0.84688,0.67389,0.70769,2.38636,0.59536,0.9826,0.0091783,0.0091783,0.0091783
85,3656.88,0.90094,1.67919,0.90175,1.0898,0.9055,0.77501,0.86249,0.71539,0.89511,0.77532,0.84564,0.6682,0.71423,2.48108,0.60418,0.98678,0.0091684,0.0091684,0.0091684
86,3694.34,0.8984,1.66455,0.90588,1.09198,0.90382,0.79305,0.8653,0.7178,0.89189,0.78702,0.84732,0.67461,0.71313,2.46109,0.60277,0.98434,0.0091585,0.0091585,0.0091585
87,3731.37,0.88843,1.64093,0.88384,1.08064,0.89927,0.79945,0.86368,0.72101,0.89254,0.78732,0.84831,0.67634,0.70963,2.42901,0.5995,0.98441,0.0091486,0.0091486,0.0091486
88,3767.58,0.89719,1.67367,0.8932,1.08647,0.89705,0.80383,0.86835,0.72353,0.89511,0.79901,0.85144,0.67889,0.7039,2.37261,0.5868,0.9867,0.0091387,0.0091387,0.0091387
89,3803.2,0.88534,1.64658,0.88981,1.08605,0.89407,0.80504,0.86841,0.72333,0.8954,0.79144,0.84965,0.67663,0.7103,2.39244,0.59238,0.98567,0.0091288,0.0091288,0.0091288
90,3838.86,0.8952,1.66742,0.89442,1.08941,0.90435,0.7993,0.87209,0.72526,0.89909,0.79529,0.85733,0.68211,0.71092,2.31794,0.58066,0.97827,0.0091189,0.0091189,0.0091189
91,3874.14,0.8904,1.66437,0.88946,1.08449,0.89398,0.80532,0.86961,0.72813,0.89395,0.79381,0.85383,0.68019,0.70045,2.39485,0.5864,0.97889,0.009109,0.009109,0.009109
92,3913.28,0.89505,1.66502,0.89473,1.08829,0.891,0.79445,0.86421,0.72566,0.88705,0.79383,0.85101,0.67795,0.69693,2.4007,0.59248,0.9745,0.0090991,0.0090991,0.0090991
93,3948.82,0.88255,1.60377,0.87389,1.08221,0.89689,0.79805,0.86836,0.72731,0.89565,0.79402,0.85144,0.68438,0.69699,2.40257,0.58178,0.97707,0.0090892,0.0090892,0.0090892
94,3984.39,0.883,1.62471,0.88136,1.08328,0.89919,0.80096,0.86774,0.72282,0.89336,0.79605,0.85068,0.67926,0.69975,2.47219,0.59244,0.97866,0.0090793,0.0090793,0.0090793
95,4019.73,0.88413,1.63639,0.87599,1.08453,0.89474,0.80738,0.87214,0.72953,0.89261,0.80036,0.85438,0.68247,0.69379,2.39852,0.57584,0.97237,0.0090694,0.0090694,0.0090694
96,4055.33,0.88095,1.60707,0.86471,1.0755,0.87938,0.80986,0.86863,0.72692,0.905,0.7871,0.85324,0.68299,0.69183,2.30812,0.57497,0.9715,0.0090595,0.0090595,0.0090595
97,4090.73,0.89129,1.66062,0.8831,1.08058,0.89555,0.80324,0.87442,0.73486,0.89662,0.79137,0.85382,0.68664,0.69213,2.42987,0.56585,0.97029,0.0090496,0.0090496,0.0090496
98,4125.98,0.88872,1.64377,0.87512,1.08533,0.89851,0.80233,0.87409,0.73372,0.89795,0.79788,0.86036,0.68972,0.69124,2.31023,0.57317,0.96909,0.0090397,0.0090397,0.0090397
99,4161.11,0.88733,1.64297,0.87483,1.08158,0.91666,0.80437,0.87636,0.73366,0.91068,0.8019,0.85836,0.68985,0.69306,2.4138,0.56347,0.97292,0.0090298,0.0090298,0.0090298
100,4196.42,0.8897,1.67033,0.89047,1.08446,0.91661,0.80074,0.87512,0.73246,0.91163,0.79673,0.85662,0.68646,0.69551,2.3739,0.57059,0.97325,0.0090199,0.0090199,0.0090199
101,4232.03,0.87066,1.60881,0.86345,1.07316,0.91055,0.80256,0.87175,0.72806,0.9036,0.79499,0.85246,0.6838,0.68828,2.35988,0.57127,0.96575,0.00901,0.00901,0.00901
102,4267.38,0.86823,1.59705,0.83644,1.0699,0.91315,0.79209,0.87029,0.73027,0.90311,0.79037,0.8549,0.68376,0.69227,2.3143,0.57776,0.96717,0.0090001,0.0090001,0.0090001
103,4304.44,0.88532,1.64407,0.88714,1.08084,0.90112,0.80729,0.87313,0.73228,0.89603,0.80493,0.85814,0.68742,0.68968,2.39441,0.56869,0.96846,0.0089902,0.0089902,0.0089902
104,4348.45,0.87204,1.61897,0.85139,1.07369,0.91053,0.801,0.87525,0.73805,0.9049,0.79655,0.85946,0.68859,0.6836,2.33722,0.55987,0.96311,0.0089803,0.0089803,0.0089803
105,4384.63,0.8714,1.60963,0.85841,1.0752,0.92339,0.79742,0.87508,0.73535,0.92,0.79201,0.86057,0.68922,0.68209,2.40106,0.56842,0.96567,0.0089704,0.0089704,0.0089704
106,4422.43,0.8703,1.61612,0.854,1.0725,0.92228,0.78938,0.87512,0.7355,0.91676,0.78439,0.859,0.69111,0.68827,2.37292,0.56046,0.96629,0.0089605,0.0089605,0.0089605
107,4466.3,0.86507,1.576,0.83973,1.07101,0.93,0.80004,0.87863,0.74225,0.92178,0.79452,0.8609,0.69629,0.6729,2.42575,0.54593,0.95835,0.0089506,0.0089506,0.0089506
108,4510.76,0.8578,1.59602,0.84218,1.06798,0.91979,0.80658,0.87801,0.7418,0.91021,0.80068,0.86219,0.69724,0.67996,2.37996,0.55031,0.96351,0.0089407,0.0089407,0.0089407
109,4555.73,0.87503,1.61974,0.86233,1.07586,0.91515,0.80589,0.87951,0.74195,0.91809,0.7973,0.86341,0.69591,0.67802,2.32121,0.5497,0.96572,0.0089308,0.0089308,0.0089308
110,4600.41,0.86491,1.59688,0.84006,1.06784,0.91083,0.81545,0.8778,0.74165,0.90821,0.81324,0.86281,0.69479,0.67597,2.33835,0.53427,0.9649,0.0089209,0.0089209,0.0089209
111,4644.58,0.88957,1.67017,0.87861,1.08287,0.91536,0.8162,0.88033,0.74096,0.90959,0.81643,0.86578,0.69674,0.67909,2.30465,0.54222,0.96571,0.008911,0.008911,0.008911
112,4679.85,0.89035,1.65702,0.88212,1.08574,0.90977,0.80841,0.87764,0.74113,0.90667,0.80353,0.86132,0.69641,0.68125,2.28228,0.5498,0.96509,0.0089011,0.0089011,0.0089011
113,4715.01,0.86928,1.60586,0.85835,1.07389,0.90886,0.81448,0.87823,0.74103,0.90707,0.8094,0.86246,0.69815,0.67766,2.28036,0.53519,0.96095,0.0088912,0.0088912,0.0088912
114,4751.59,0.86312,1.60618,0.83864,1.06738,0.91399,0.81068,0.87684,0.73906,0.90856,0.80666,0.86169,0.69752,0.6736,2.31436,0.53821,0.96009,0.0088813,0.0088813,0.0088813
115,4788.41,0.85633,1.57278,0.83965,1.06618,0.92009,0.807,0.87784,0.74376,0.91463,0.80467,0.86412,0.69835,0.66743,2.31151,0.53767,0.95936,0.0088714,0.0088714,0.0088714
116,4823.62,0.86936,1.62348,0.86455,1.07497,0.91927,0.81219,0.87853,0.74438,0.91465,0.80792,0.86508,0.69894,0.66206,2.35342,0.5444,0.95587,0.0088615,0.0088615,0.0088615
117,4859.41,0.86382,1.6011,0.84823,1.07088,0.91715,0.811,0.87924,0.74212,0.91292,0.80794,0.86385,0.69712,0.66659,2.36395,0.5437,0.95653,0.0088516,0.0088516,0.0088516
118,4895.15,0.8691,1.60501,0.86068,1.07661,0.92257,0.80872,0.88229,0.74271,0.92268,0.80243,0.86656,0.69639,0.67113,2.38379,0.53491,0.96046,0.0088417,0.0088417,0.0088417
119,4930.41,0.87204,1.61112,0.85206,1.07465,0.91663,0.81105,0.87932,0.74262,0.91152,0.80341,0.86018,0.6945,0.66796,2.37569,0.53375,0.9583,0.0088318,0.0088318,0.0088318
120,4965.44,0.86632,1.62203,0.85197,1.07342,0.91301,0.81463,0.87958,0.74091,0.90666,0.81064,0.86301,0.69468,0.67156,2.34028,0.53664,0.95455,0.0088219,0.0088219,0.0088219
